age,fare,embarked,sex,pclass
2.0,29.125,Q,male,3
,7.75,Q,female,3
20.0,7.925,S,male,3
,69.55,S,female,3
20.0,7.05,S,male,3
27.0,247.5208,C,female,1
19.0,10.5,S,male,2
,26.0,S,male,1
18.0,79.65,S,female,1
,146.5208,C,female,1
32.0,7.925,S,male,3
22.0,7.2292,C,male,3
20.0,13.8625,C,male,2
22.0,7.225,C,male,3
48.0,79.2,C,female,1
,56.4958,S,male,3
,50.0,S,male,1
51.0,7.0542,S,male,3
54.0,51.8625,S,male,1
,0.0,S,male,1
49.0,0.0,S,male,1
,7.75,Q,female,3
53.0,27.4458,C,female,1
8.0,21.075,S,female,3
46.0,75.2417,C,male,1
2.0,20.2125,S,female,3
25.0,10.5,S,male,2
30.0,8.05,S,male,3
,7.7792,Q,female,3
,7.8958,S,male,3
,7.75,Q,male,3
30.0,24.15,S,female,3
,25.4667,S,female,3
,55.0,S,female,1
23.0,13.0,S,male,2
74.0,7.775,S,male,3
19.0,8.1583,S,male,3
,25.4667,S,female,3
,8.05,S,male,3
1.0,15.7417,C,female,3
22.0,31.5,S,male,2
28.0,7.7958,S,male,3
,39.6,C,male,1
26.0,30.0,C,male,1
24.0,247.5208,C,male,1
30.0,12.7375,C,male,2
41.0,13.0,S,male,2
67.0,221.7792,S,male,1
44.0,26.0,S,female,2
20.0,7.2292,C,male,3
0.9167,27.75,S,female,2
1.0,37.0042,C,male,2
45.0,52.5542,S,female,1
26.0,20.575,S,male,3
,35.5,S,male,1
29.0,21.0,S,male,2
18.5,7.2292,C,male,3
55.0,30.5,S,male,1
31.0,50.4958,S,male,1
,23.45,S,male,3
37.0,26.0,S,male,2
32.0,26.0,S,male,2
19.0,263.0,S,male,1
0.8333,9.35,S,male,3
,15.05,C,male,2
26.0,7.8958,S,male,3
22.0,7.725,Q,female,3
25.0,26.0,C,male,1
33.0,151.55,S,female,1
52.0,13.0,S,male,2
,35.0,S,male,1
,7.8958,S,male,3
30.0,13.0,S,female,2
,7.2292,C,female,3
49.0,76.7292,C,female,1
63.0,9.5875,S,female,3
45.0,26.55,S,male,1
4.0,31.275,S,male,3
12.0,11.2417,C,male,3
44.0,57.9792,C,female,1
41.0,14.1083,S,male,3
32.0,7.925,S,male,3
,221.7792,S,male,1
,7.7292,Q,male,3
26.0,7.8875,S,male,3
26.0,7.775,S,male,3
9.0,34.375,S,female,3
22.0,7.25,S,female,3
18.0,13.0,S,female,2
36.0,7.4958,S,male,3
,19.9667,S,male,3
,7.75,Q,male,3
19.0,10.5,S,male,2
18.0,7.7958,S,male,3
,21.6792,C,male,3
33.0,5.0,S,male,1
65.0,26.55,S,male,1
30.0,13.8583,C,female,2
21.0,21.0,S,female,2
19.0,8.05,S,male,3
24.0,263.0,S,female,1
42.0,27.0,S,male,2
42.0,13.0,S,male,2
29.0,8.05,S,male,3
29.0,221.7792,S,female,1
42.0,42.5,S,male,1
,16.1,S,male,3
24.0,65.0,S,female,2
26.0,7.8542,S,male,3
25.0,7.775,S,female,3
39.0,7.2292,C,male,3
,7.8958,S,male,3
22.0,7.8958,S,male,3
,23.45,S,female,3
,23.25,Q,male,3
56.0,26.55,S,male,1
,7.75,Q,male,3
36.0,31.6792,C,female,1
,69.55,S,female,3
,7.8792,Q,female,3
,6.4375,C,male,3
37.0,9.5875,S,female,3
35.0,26.55,C,male,1
13.0,31.3875,S,male,3
32.0,7.5792,S,male,3
27.0,26.0,S,male,2
35.0,135.6333,S,female,1
30.0,13.0,S,male,2
32.0,8.05,S,male,3
,7.8958,S,male,3
,7.25,S,male,3
44.0,7.925,S,male,3
3.0,26.0,S,male,2
,7.55,S,male,3
30.0,13.0,S,male,2
33.0,8.6542,S,male,3
8.0,29.125,Q,male,3
24.0,13.0,S,female,2
41.0,134.5,C,female,1
30.5,8.05,S,male,3
22.0,7.125,S,male,3
47.0,34.0208,S,male,1
43.0,46.9,S,female,3
5.0,27.75,S,female,2
18.0,17.8,S,female,3
29.0,7.8958,C,male,3
27.0,14.4542,C,male,3
,7.75,Q,female,3
52.0,93.5,S,female,1
24.0,7.775,S,male,3
21.0,8.6625,S,female,3
36.0,120.0,S,female,1
,8.05,S,male,3
1.0,39.0,S,male,2
22.0,7.25,S,male,3
,7.75,Q,female,3
21.0,7.7333,Q,male,3
27.0,7.8792,Q,female,3
40.0,9.475,S,female,3
,69.55,S,female,3
29.0,30.0,S,male,1
29.0,10.4625,S,female,3
19.0,13.0,S,female,2
21.0,8.05,S,male,3
11.0,46.9,S,male,3
26.0,7.775,S,male,3
18.0,14.4542,C,male,3
18.0,8.05,S,female,3
35.0,52.0,S,female,1
10.0,27.9,S,male,3
20.0,8.05,S,male,3
38.0,90.0,S,male,1
4.0,23.0,S,female,2
18.0,60.0,S,female,1
76.0,78.85,S,female,1
53.0,28.5,C,male,1
57.0,10.5,S,female,2
34.0,13.0,S,male,2
,7.0,S,male,3
24.0,8.85,S,female,3
70.0,71.0,S,male,1
24.0,9.325,S,male,3
26.0,29.0,S,male,2
18.0,23.0,S,female,2
30.0,164.8667,S,female,1
49.0,89.1042,C,male,1
39.0,7.925,S,male,3
27.0,53.1,S,male,1
,8.05,S,male,3
21.0,8.4333,S,male,3
,7.75,Q,male,3
41.0,7.85,S,male,3
35.0,83.475,S,female,1
25.0,7.05,S,male,3
29.0,7.925,S,female,3
21.0,8.05,S,male,3
,15.2458,C,female,3
,0.0,S,male,2
,7.75,Q,female,3
30.0,31.0,C,female,1
33.0,8.05,S,male,3
42.0,8.6625,S,male,3
52.0,79.65,S,male,1
19.0,14.5,S,male,3
26.0,10.5,S,male,2
,25.7417,C,male,1
20.0,9.825,S,female,3
28.0,10.5,S,male,2
35.0,90.0,S,female,1
45.0,8.05,S,male,3
29.0,7.925,S,male,3
25.0,30.0,S,female,2
18.0,13.0,S,female,2
45.5,7.225,C,male,3
33.0,26.0,S,female,2
38.0,71.2833,C,female,1
,7.2292,C,male,3
,56.4958,S,male,3
,0.0,S,male,2
18.0,7.775,S,female,3
20.0,7.8542,S,male,3
,31.6833,S,female,1
41.0,20.2125,S,female,3
19.0,26.0,S,female,2
21.0,7.75,Q,male,3
30.0,15.55,S,female,3
70.5,7.75,Q,male,3
,0.0,S,male,1
,14.4583,C,male,3
29.0,22.025,S,male,3
8.0,32.5,S,male,2
39.0,110.8833,C,female,1
,24.15,Q,male,3
,7.75,Q,male,3
44.0,16.1,S,male,3
50.0,26.0,S,female,2
39.0,24.15,S,male,3
18.0,9.8417,S,female,3
,7.8958,S,male,3
22.0,151.55,S,female,1
28.0,22.525,S,male,3
,7.75,Q,male,3
,31.0,S,male,1
47.0,7.0,S,female,3
48.0,25.9292,S,female,1
47.0,14.5,S,female,3
,7.8875,S,male,3
48.0,106.425,C,female,1
,7.775,S,male,3
28.0,7.25,S,male,3
23.0,7.8958,S,male,3
29.0,13.8583,C,male,2
23.0,7.8542,S,female,3
,42.4,S,male,1
27.0,13.8583,C,female,2
,7.8958,S,male,3
,23.45,S,male,3
26.0,22.025,S,female,3
50.0,10.5,S,female,2
45.0,26.25,S,female,2
,21.0,S,female,2
23.0,7.7958,S,male,3
,8.05,S,male,3
62.0,26.55,S,male,1
32.0,22.525,S,male,3
,23.25,Q,female,3
23.0,13.9,S,male,3
31.0,21.0,S,female,2
33.0,9.5,S,male,3
19.0,10.5,S,male,2
,8.05,S,male,3
45.0,26.55,S,male,1
17.0,8.6625,S,male,3
,7.2292,C,male,3
65.0,61.9792,C,male,1
36.0,40.125,C,male,1
17.0,7.925,S,female,3
,7.75,Q,female,3
,7.225,C,female,3
,12.875,S,male,2
34.0,10.5,S,female,2
17.0,14.4583,C,female,3
23.0,8.05,S,female,3
35.0,7.125,S,male,3
9.0,3.1708,S,male,3
28.0,47.1,S,male,1
29.0,10.5,S,female,2
,7.75,Q,female,3
44.0,27.7208,C,female,1
,7.55,S,male,3
25.0,7.8958,S,male,3
48.0,262.375,C,female,1
39.0,108.9,C,female,1
0.8333,29.0,S,male,2
18.0,8.05,S,male,3
22.0,39.6875,S,female,3
18.0,6.4958,S,male,3
,7.225,C,male,3
23.0,82.2667,S,female,1
30.0,56.9292,C,female,1
56.0,35.5,C,male,1
41.0,51.8625,S,male,1
52.0,30.5,S,male,1
19.0,53.1,S,male,1
35.0,7.05,S,male,3
35.0,7.75,Q,female,3
30.0,57.75,C,male,1
16.0,39.6875,S,male,3
16.0,10.5,S,male,2
46.0,26.0,S,male,1
,7.75,Q,male,3
51.0,12.525,S,male,2
,8.05,S,male,3
26.0,136.7792,C,female,1
15.0,14.4542,C,female,3
,7.75,Q,male,3
25.0,41.5792,C,male,2
,7.225,C,male,3
31.0,7.775,S,male,3
22.5,7.225,C,male,3
28.0,35.5,S,male,1
,7.55,S,male,3
38.0,21.0,S,male,2
22.0,66.6,S,female,1
32.5,30.0708,C,male,2
19.0,7.8958,S,male,3
34.0,21.0,S,male,2
30.0,13.0,S,female,2
,7.75,Q,female,3
26.0,8.05,S,male,3
,8.05,S,male,3
,7.8792,Q,female,3
45.0,164.8667,S,female,1
30.0,7.25,S,male,3
28.0,7.775,S,female,3
36.0,13.0,S,male,2
17.0,12.0,C,female,2
49.0,25.9292,S,female,1
,30.6958,C,male,1
20.0,8.6625,S,male,3
24.0,13.0,S,male,2
,25.4667,S,male,3
28.5,7.2292,C,male,3
,7.05,S,male,3
31.0,26.25,S,male,2
36.0,26.2875,S,male,1
64.0,26.0,S,male,1
,8.1375,Q,female,3
,7.7333,Q,male,3
36.0,26.0,S,female,2
35.0,26.0,S,male,2
,7.2292,C,male,3
3.0,15.9,S,male,3
17.0,108.9,C,female,1
28.0,7.925,S,male,3
,27.7208,C,male,1
54.0,26.0,S,male,2
30.0,13.0,S,male,2
53.0,51.4792,S,female,1
27.0,12.475,S,female,3
16.0,57.9792,C,female,1
,7.25,S,male,3
,8.05,S,male,3
33.0,20.525,S,male,3
,8.1125,S,female,3
19.0,8.05,S,male,3
7.0,29.125,Q,male,3
42.0,8.4042,S,male,3
49.0,56.9292,C,male,1
17.0,8.6625,S,male,3
47.0,227.525,C,male,1
54.0,23.0,S,female,2
29.0,9.5,S,male,3
4.0,13.4167,C,female,3
,7.2292,C,male,3
42.0,26.0,S,female,2
16.0,20.25,S,male,3
39.0,55.9,S,female,1
24.0,83.1583,C,female,1
24.0,82.2667,S,male,1
16.0,8.05,S,male,3
24.0,9.5,S,male,3
,7.7375,Q,female,3
52.0,13.5,S,male,2
24.0,7.8542,S,male,3
24.0,31.5,S,male,2
5.0,31.3875,S,male,3
36.0,135.6333,C,female,1
21.0,9.825,S,female,3
37.0,7.925,S,male,3
25.0,7.775,S,male,3
40.0,15.5,Q,male,3
28.0,12.65,S,female,2
52.0,78.2667,C,female,1
39.0,31.275,S,female,3
,7.8792,Q,female,3
35.0,512.3292,C,female,1
16.0,8.5167,C,female,3
23.0,7.8542,S,male,3
21.0,16.1,S,male,3
,33.0,S,female,2
41.0,15.0458,C,male,2
31.0,13.0,S,male,2
,15.2458,C,male,3
39.0,79.65,S,female,1
56.0,83.1583,C,female,1
9.0,15.9,S,male,3
17.0,7.125,S,male,3
36.0,12.1833,S,female,3
25.0,0.0,S,male,3
36.0,26.3875,S,male,1
,7.75,Q,female,3
37.0,7.75,Q,female,3
61.0,32.3208,S,male,1
18.0,20.2125,S,male,3
24.0,69.3,C,female,1
,7.2292,C,male,3
,39.6,S,male,1
2.0,21.075,S,male,3
20.0,7.8542,S,female,3
,7.2292,C,male,3
,8.05,S,female,3
14.5,69.55,S,male,3
60.0,79.2,C,male,1
44.0,90.0,Q,male,1
,25.4667,S,female,3
3.0,13.775,S,female,3
,15.5,Q,female,3
10.0,29.125,Q,male,3
,13.8625,C,male,2
28.0,26.0,S,female,2
24.0,37.0042,C,female,2
40.0,15.75,S,female,2
36.0,7.25,S,male,3
34.5,7.8292,Q,male,3
,7.575,S,male,3
,15.5,Q,male,3
61.0,262.375,C,male,1
13.0,19.5,S,female,2
15.0,211.3375,S,female,1
34.0,8.05,S,male,3
8.0,26.25,S,female,2
42.0,13.0,S,female,2
57.0,164.8667,S,male,1
28.0,82.1708,C,male,1
,7.775,S,male,3
24.0,13.0,S,female,2
19.0,26.0,S,female,2
30.0,10.5,S,male,2
50.0,211.5,C,male,1
32.0,30.5,C,male,1
,56.4958,S,male,3
6.0,31.275,S,female,3
,7.2292,C,male,3
33.0,7.8542,S,male,3
14.0,7.8542,S,female,3
44.0,8.05,S,male,3
22.0,7.75,Q,female,3
28.0,10.5,S,male,2
22.0,7.25,S,male,3
30.0,26.0,S,male,2
,0.0,S,male,2
24.0,7.7958,S,male,3
18.0,7.2292,C,female,3
51.0,77.9583,S,female,1
23.0,8.6625,S,female,3
25.0,13.0,S,male,2
19.0,91.0792,C,female,1
40.0,0.0,S,male,1
37.0,90.0,Q,female,1
,27.7208,C,female,1
45.0,27.9,S,female,3
59.0,51.4792,S,female,1
39.0,13.4167,C,male,3
32.5,9.5,S,male,3
,30.5,S,male,1
63.0,26.0,S,male,2
43.0,7.8958,S,male,3
29.0,7.875,S,male,3
24.0,7.05,S,male,3
32.0,7.775,S,male,3
40.0,13.0,S,male,2
30.0,151.55,S,male,1
19.0,7.8958,S,male,3
26.0,7.8958,S,male,3
45.5,28.5,S,male,1
50.0,10.5,S,female,2
23.0,15.0458,C,male,2
19.0,7.8958,S,male,3
33.0,26.55,S,male,1
50.0,8.05,S,male,3
,7.7333,Q,female,3
60.0,26.55,S,male,1
36.0,10.5,S,male,2
,7.2292,C,male,3
0.3333,14.4,S,male,3
30.0,13.0,S,male,2
45.0,30.0,S,female,2
40.0,13.0,S,female,2
27.0,7.8958,S,male,3
,9.5,S,male,3
25.0,7.2292,C,male,3
,69.55,S,female,3
22.0,7.775,S,female,3
23.0,7.55,S,female,3
,23.45,S,female,3
24.0,7.8958,S,male,3
25.0,10.5,S,male,2
20.0,9.8458,S,male,3
49.0,0.0,S,male,3
9.0,46.9,S,male,3
,69.55,S,male,3
60.0,39.0,S,male,2
32.0,8.3625,S,male,3
34.0,23.0,S,female,2
48.0,39.6,C,female,1
24.0,27.7208,C,female,2
23.0,10.5,S,male,2
57.0,146.5208,C,male,1
,7.8958,S,male,3
24.5,8.05,S,male,3
26.0,7.8542,S,female,3
,7.8792,Q,female,3
,8.05,S,male,3
6.0,33.0,S,female,2
4.0,16.7,S,female,3
18.0,7.75,S,male,3
22.0,59.4,C,female,1
27.0,8.6625,S,male,3
40.0,7.225,C,male,3
64.0,83.1583,C,female,1
71.0,49.5042,C,male,1
20.0,7.225,C,male,3
15.0,7.225,C,female,3
47.0,25.5875,S,male,1
8.0,26.0,S,female,2
,15.2458,C,female,3
0.4167,8.5167,C,male,3
20.0,15.7417,C,male,3
29.0,27.7208,C,male,2
47.0,42.4,S,male,1
20.0,9.225,S,male,3
21.0,8.05,S,male,3
55.5,8.05,S,male,3
17.0,10.5,S,female,2
49.0,26.0,S,male,1
,14.4542,C,female,3
24.0,7.75,Q,female,3
47.0,10.5,S,male,2
19.0,10.1708,S,male,3
42.0,7.55,S,male,3
27.0,6.975,S,male,3
,24.15,Q,male,3
45.0,14.4542,C,female,3
35.0,53.1,S,female,1
29.0,15.2458,C,female,3
38.0,7.8958,S,male,3
,7.8792,S,male,3
25.0,31.5,S,male,2
27.0,7.225,C,male,3
30.0,24.0,C,male,2
27.0,76.7292,C,male,1
25.0,17.8,S,male,3
25.0,7.65,S,male,3
23.0,63.3583,C,male,1
40.0,153.4625,S,female,1
42.0,52.0,S,male,1
22.0,10.5167,S,female,3
0.8333,18.75,S,male,2
7.0,39.6875,S,male,3
51.0,7.75,S,male,3
0.75,13.775,S,male,3
21.0,7.225,C,male,3
24.0,14.5,S,female,2
21.0,73.5,S,male,2
25.0,26.0,S,female,2
21.0,7.8542,S,male,3
,22.3583,C,female,3
,15.5,Q,male,3
31.0,164.8667,S,female,1
32.0,73.5,S,male,2
,227.525,C,male,1
25.0,91.0792,C,male,1
14.0,65.0,S,male,2
30.0,7.2292,C,male,3
26.0,8.6625,S,male,3
43.0,55.4417,C,female,1
29.0,23.0,S,female,2
22.0,135.6333,C,male,1
,25.925,S,male,1
33.0,12.275,S,male,2
4.0,81.8583,S,male,1
22.0,8.6625,S,female,3
28.0,9.5,S,male,3
23.0,9.225,S,male,3
28.0,263.0,S,female,1
19.0,36.75,S,male,2
,14.4542,C,female,3
27.0,7.925,S,female,3
21.0,7.775,S,male,3
48.0,36.75,S,female,2
25.0,7.775,S,male,3
17.0,110.8833,C,male,1
32.0,7.8958,S,male,3
,7.75,Q,male,3
,7.225,C,male,3
45.0,14.1083,S,female,3
,7.05,S,male,3
64.0,263.0,S,male,1
18.0,7.8792,Q,female,3
55.0,93.5,S,male,1
21.0,77.2875,S,male,1
24.0,15.85,S,female,3
,8.05,S,male,3
22.0,10.5,S,male,2
22.0,8.05,S,male,3
31.0,26.25,S,female,2
25.0,7.925,S,female,3
30.0,7.225,C,male,3
39.0,83.1583,C,female,1
39.0,211.3375,S,female,1
36.0,15.55,S,male,3
,23.25,Q,female,3
36.0,0.0,S,male,3
45.0,13.5,S,female,2
36.5,26.0,S,male,2
39.0,0.0,S,male,1
21.0,7.7958,S,male,3
27.0,7.8958,S,male,3
30.0,93.5,S,female,1
40.5,7.75,Q,male,3
29.0,7.8542,S,male,3
